timestamp,open,high,low,close,volume
2019-11-15,76.5500,77.8700,76.0750,77.0200,1309227
2019-11-14,76.8600,78.0100,75.9200,76.2900,1537351
2019-11-13,77.3100,78.5400,76.2200,77.0100,2145700
2019-11-12,77.8100,79.5500,77.1000,78.0100,2975600
2019-11-11,74.2200,77.1500,73.7100,76.7800,3207700
2019-11-08,74.8500,76.5300,74.2500,75.4300,2361000
2019-11-07,77.7500,79.1800,74.5500,75.5600,5583200
2019-11-06,80.0300,80.7000,76.5100,77.2000,13543100
2019-11-05,91.0000,92.7900,90.0800,90.2300,2512500
2019-11-04,88.1900,90.8700,88.0100,90.3600,2150000
2019-11-01,86.5400,87.4000,85.8100,86.7900,1491200
2019-10-31,84.0000,85.7800,82.8400,85.7600,1409000
2019-10-30,87.1300,88.2400,84.0900,84.3800,1786700
2019-10-29,85.8000,88.3400,85.4300,87.9200,1707800
2019-10-28,87.9800,88.8200,86.0100,86.6000,1213500
2019-10-25,86.8400,88.2600,86.1800,87.4600,961600
2019-10-24,87.9600,88.4000,86.0400,86.9100,1015200
2019-10-23,85.4700,87.8700,84.1400,87.1600,1333500
2019-10-22,83.3100,87.0700,82.8300,85.6900,1218600
2019-10-21,82.2500,83.0400,81.7000,82.7400,1284200
2019-10-18,84.2600,84.8700,81.9400,81.9700,1358600
2019-10-17,83.8200,85.1100,83.1500,84.0400,1900500
2019-10-16,84.0400,85.4700,83.3400,83.4300,1516900
2019-10-15,83.0200,85.9400,82.6600,84.8400,2119200
2019-10-14,82.1800,84.7000,80.9300,83.9600,1244200
2019-10-11,83.4900,84.6800,82.9600,83.6400,1397300
2019-10-10,81.6400,82.8100,81.1400,82.5400,1334000
2019-10-09,81.8400,82.3900,80.7500,81.5500,1582500
2019-10-08,82.4800,82.8700,80.7700,80.8200,1900200
2019-10-07,85.3600,85.6500,83.3600,83.3700,1750400
2019-10-04,86.2200,86.7000,83.9900,85.4200,1328400
2019-10-03,82.3200,86.5900,82.3200,85.8900,2143400
2019-10-02,84.6500,85.1800,82.4400,83.1200,2013100
2019-10-01,88.9500,89.4900,85.0000,85.0000,3069100
2019-09-30,89.8100,90.4000,88.6000,89.9100,1125800
2019-09-27,89.0000,90.9000,88.9000,89.9900,1680800
2019-09-26,92.7500,93.0000,89.0900,90.1200,2467300
2019-09-25,93.5200,93.9000,91.0700,93.2400,2199000
2019-09-24,97.5000,98.2900,93.5900,94.4900,2268100
2019-09-23,96.6500,99.1400,96.4400,98.2900,1797800
2019-09-20,97.3500,98.1900,95.8000,96.8200,3524400
2019-09-19,99.5900,99.8400,96.9400,97.3300,1270700
2019-09-18,99.3500,99.5000,97.1900,98.2500,1550000
2019-09-17,104.7500,105.3000,100.3700,100.4500,2406400
2019-09-16,104.0000,105.9500,101.8100,105.0400,3985100
2019-09-13,96.6100,97.5800,95.5300,96.7300,1189600
2019-09-12,96.4900,97.4500,95.5700,96.1700,1575400
2019-09-11,100.0000,101.3700,97.7900,98.7200,1314200
2019-09-10,97.3500,101.5000,97.0100,99.4600,2724600
2019-09-09,96.6700,97.6100,95.2400,96.5400,2582100
2019-09-06,95.7800,97.0000,95.0900,95.6000,1623800
2019-09-05,98.4100,99.9000,97.5600,97.6500,1561800
2019-09-04,98.9200,99.5800,97.7400,97.8200,1160600
2019-09-03,95.2900,97.3200,93.8600,97.0000,1427100
