timestamp,open,high,low,close,volume
2019-11-15,64.9200,65.2900,64.3800,64.6900,3821635
2019-11-14,64.4900,65.2100,64.1600,64.4500,4440400
2019-11-13,64.3000,64.9000,63.7600,64.2500,4325600
2019-11-12,65.9300,66.2400,64.4100,64.9000,5518500
2019-11-11,65.4400,66.4500,65.0600,65.7100,2254900
2019-11-08,65.8700,66.4600,64.8700,66.2300,4488100
2019-11-07,65.1100,66.8200,64.9300,66.2500,5980300
2019-11-06,66.0000,66.0100,64.0800,64.2800,5081400
2019-11-05,68.2200,68.7300,66.1200,66.4400,7018400
2019-11-04,66.9200,68.5000,66.7200,67.9400,6145100
2019-11-01,64.8500,66.8300,64.7300,66.4700,7377500
2019-10-31,66.6000,66.9400,61.3800,63.9500,15931200
2019-10-30,68.6900,68.8900,65.1800,66.1900,6873400
2019-10-29,67.7700,69.6500,67.6100,68.0200,7274800
2019-10-28,68.2900,68.5900,67.2200,67.5800,4748600
2019-10-25,66.3500,68.5000,65.7500,68.0100,6248200
2019-10-24,66.2500,66.7700,65.4000,66.3500,4898400
2019-10-23,65.0900,65.9600,64.7400,65.8700,5908200
2019-10-22,65.0400,65.8800,64.8600,65.1800,3468800
2019-10-21,65.4500,66.0500,64.6700,64.6700,4631300
2019-10-18,63.9000,65.5400,63.7800,65.1400,12749000
2019-10-17,63.2900,65.4100,63.0700,64.1000,7049100
2019-10-16,63.7500,64.1600,62.6100,62.6900,4325600
2019-10-15,62.9500,64.5600,62.3200,64.0500,4926300
2019-10-14,62.7300,63.7300,62.4500,63.1400,3811400
2019-10-11,62.9100,64.1000,62.2900,63.4200,8368500
2019-10-10,60.8000,62.0000,60.7300,61.9300,4470600
2019-10-09,60.3000,61.2200,60.2400,60.5600,5461300
2019-10-08,59.8900,60.5000,59.5600,59.8200,4838700
2019-10-07,61.0000,61.4800,60.2600,60.4000,3345200
2019-10-04,60.2500,60.9900,59.7200,60.7400,6181700
2019-10-03,58.7800,60.0700,58.2400,60.0000,4462000
2019-10-02,59.5300,60.0000,58.6600,59.2000,5479400
2019-10-01,61.2600,61.6300,60.3300,60.3800,6307600
2019-09-30,62.1600,62.3000,60.5200,60.7500,9311300
2019-09-27,61.4000,62.8200,60.8500,62.4200,13047100
2019-09-26,59.7000,61.0800,59.2500,60.8400,9487000
2019-09-25,59.3100,60.3500,58.0500,60.1500,16650300
2019-09-24,55.7300,55.9400,54.9600,55.4800,5520500
2019-09-23,54.3500,56.3100,54.3500,55.7800,5357300
2019-09-20,54.1300,55.8600,54.1200,55.1000,7932500
2019-09-19,54.1100,54.3100,53.6300,53.9200,3594500
2019-09-18,53.1900,53.8000,52.7300,53.7600,3247400
